undercover,normal,total,badnum,1st_votes,2nd_votes,3rd_votes,survival,1st_votes_not_nan,2nd_votes_not_nan,3rd_votes_not_nan,rf_value,rf_value_norm
姚明,詹姆斯,6,1,1,3.0,,1,1,1,0,5.5,0.275
姚明,詹姆斯,6,1,1,1.0,1.0,3,1,1,1,14.5,0.725
姚明,詹姆斯,6,1,1,2.0,,1,1,1,0,7.0,0.35
芥末,辣椒,6,1,1,1.0,2.0,2,1,1,1,11.5,0.575
芥末,辣椒,6,1,1,0.0,1.0,3,1,1,1,16.0,0.8
芥末,辣椒,6,1,4,,,0,1,0,0,1.0,0.05
蝴蝶,蜜蜂,6,1,0,0.0,1.0,3,1,1,1,17.0,0.85
蝴蝶,蜜蜂,6,1,1,4.0,,1,1,1,0,4.0,0.2
蝴蝶,蜜蜂,6,1,2,4.0,,1,1,1,0,3.0,0.15
魔法师,魔术师,6,1,0,1.0,3.0,2,1,1,1,9.5,0.475
魔法师,魔术师,6,1,0,4.0,,1,1,1,0,5.0,0.25
魔法师,魔术师,6,1,4,,,0,1,0,0,1.0,0.05
灌汤包,小笼包,6,1,0,4.0,,1,1,1,0,5.0,0.25
灌汤包,小笼包,6,1,0,0.0,1.0,3,1,1,1,17.0,0.85
灌汤包,小笼包,6,1,1,0.0,2.0,2,1,1,1,13.0,0.65
